ID,animal,fecha,time,altura,mo2ind,mo2gh,mo2gs_umol_h_gdrymass,dias,exper1,masa,fecha2,time2,dias2,masa_seca_gram
179,4,04/22/11,0.381597222,2.789576259,0.011557317,0.708168938,2.905994044,1,E1,16.32,40655.3816,1.381597222,0,3.95620072
180,4,04/22/11,0.411111111,2.226205653,0.016982386,1.0405874,4.270083905,1,E1,16.32,40655.41111,1.411111111,0,3.95620072
181,4,04/22/11,0.455902778,1.739297445,0.011443605,0.701201265,2.877401974,1,E1,16.32,40655.4559,1.455902778,0,3.95620072
182,4,04/22/11,0.485069444,1.724341493,0.012890854,0.789880739,3.241301049,1,E1,16.32,40655.48507,1.485069444,0,3.95620072
61,5,04/21/11,0.410069444,1.399685055,0.006993314,0.458577964,1.834586679,0,E1,15.25,40654.41007,0.410069444,0,3.7735025
62,5,04/21/11,0.456597222,1.261152695,0.009748256,0.639229889,2.557302643,0,E1,15.25,40654.4566,0.456597222,0,3.7735025
63,5,04/21/11,0.501736111,1.858629101,0.008264826,0.541955776,2.168147893,0,E1,15.25,40654.50174,0.501736111,0,3.7735025
64,5,04/21/11,0.545486111,2.962639161,0.006569477,0.43078536,1.723399607,0,E1,15.25,40654.54549,0.545486111,0,3.7735025
65,5,04/21/11,0.593055556,4.38664769,0.007041477,0.461736215,1.847221573,0,E1,15.25,40654.59306,0.593055556,0,3.7735025
66,5,04/21/11,0.622569444,5.187198143,0.017801163,1.167289363,4.669857001,0,E1,15.25,40654.62257,0.622569444,0,3.7735025
67,5,04/21/11,0.667708333,6.017457123,0.014175,0.929508197,3.718589834,0,E1,15.25,40654.66771,0.667708333,0,3.7735025
68,5,04/21/11,0.697569444,6.199442063,0.016224695,1.063914434,4.256295333,0,E1,15.25,40654.69757,0.697569444,0,3.7735025
69,5,04/21/11,0.742361111,5.885377309,0.014536607,0.953220141,3.81345182,0,E1,15.25,40654.74236,0.742361111,0,3.7735025
70,5,04/21/11,0.771527778,5.348083824,0.013234821,0.867857143,3.471948672,0,E1,15.25,40654.77153,0.771527778,0,3.7735025
71,5,04/21/11,0.817013889,4.152541883,0.011443605,0.750400305,3.002050929,0,E1,15.25,40654.81701,0.817013889,0,3.7735025
72,5,04/21/11,0.846527778,3.279667143,0.011716071,0.768266979,3.073528332,0,E1,15.25,40654.84653,0.846527778,0,3.7735025
73,5,04/21/11,0.891666667,2.062408143,0.018026902,1.182091946,4.729076202,0,E1,15.25,40654.89167,0.891666667,0,3.7735025
74,5,04/21/11,0.969791667,1.100191821,0.010184559,0.667839923,2.671759923,0,E1,15.25,40654.96979,0.969791667,0,3.7735025
183,5,04/22/11,1.000347222,1.274114512,0.010097635,0.662140009,2.648956851,0,E1,15.25,40656.00035,1.000347222,0,3.7735025
184,5,04/22/11,0.027777778,1.687309121,0.013885714,0.910538642,3.642700246,1,E1,15.25,40655.02778,1.027777778,0,3.7735025
185,5,04/22/11,0.056944444,2.132971612,0.007376786,0.483723653,1.935184505,1,E1,15.25,40655.05694,1.056944444,0,3.7735025
186,5,04/22/11,0.103472222,3.168964459,0.01097642,0.719765276,2.879492453,1,E1,15.25,40655.10347,1.103472222,0,3.7735025
187,5,04/22/11,0.133333333,4.159604382,0.01670625,1.095491803,4.382623733,1,E1,15.25,40655.13333,1.133333333,0,3.7735025
188,5,04/22/11,0.1625,4.816128843,0.008244643,0.540632319,2.162853271,1,E1,15.25,40655.1625,1.1625,0,3.7735025
189,5,04/22/11,0.193402778,5.277824602,0.008724734,0.572113708,2.288797694,1,E1,15.25,40655.1934,1.193402778,0,3.7735025
190,5,04/22/11,0.244444444,5.361794714,0.011291576,0.740431219,2.96216861,1,E1,15.25,40655.24444,1.244444444,0,3.7735025
191,5,04/22/11,0.275,5.042531666,0.011499107,0.754039813,3.016611141,1,E1,15.25,40655.275,1.275,0,3.7735025
192,5,04/22/11,0.352777778,3.442683883,0.013875852,0.909891952,3.6401131,1,E1,15.25,40655.35278,1.352777778,0,3.7735025
193,5,04/22/11,0.382291667,2.77476316,0.013335366,0.87445022,3.498324931,1,E1,15.25,40655.38229,1.382291667,0,3.7735025
194,5,04/22/11,0.411805556,2.21489478,0.015739773,1.032116244,4.129083517,1,E1,15.25,40655.41181,1.411805556,0,3.7735025
195,5,04/22/11,0.456597222,1.736034724,0.011443605,0.750400305,3.002050929,1,E1,15.25,40655.4566,1.456597222,0,3.7735025
196,5,04/22/11,0.485763889,1.727038083,0.012001829,0.787005198,3.148492438,1,E1,15.25,40655.48576,1.485763889,0,3.7735025
75,6,04/21/11,0.410416667,1.395807683,0.009526705,0.625111847,2.500229824,0,E1,15.24,40654.41042,0.410416667,0,3.77179504
76,6,04/21/11,0.457291667,1.265058024,0.011231686,0.736987273,2.947692593,0,E1,15.24,40654.45729,0.457291667,0,3.77179504
77,6,04/21/11,0.502083333,1.865695587,0.009940909,0.652290623,2.608935469,0,E1,15.24,40654.50208,0.502083333,0,3.77179504
78,6,04/21/11,0.546527778,2.992868026,0.005384659,0.353324087,1.413173379,0,E1,15.24,40654.54653,0.546527778,0,3.77179504
79,6,04/21/11,0.594097222,4.417029733,0.0066825,0.438484252,1.753784398,0,E1,15.24,40654.5941,0.594097222,0,3.77179504
80,6,04/21/11,0.623958333,5.220932363,0.018875893,1.238575647,4.953871515,0,E1,15.24,40654.62396,0.623958333,0,3.77179504
81,6,04/21/11,0.668402778,6.025298655,0.0119475,0.783956693,3.135553924,0,E1,15.24,40654.6684,0.668402778,0,3.77179504
82,6,04/21/11,0.698263889,6.199799138,0.016002439,1.050028807,4.199749779,0,E1,15.24,40654.69826,0.698263889,0,3.77179504
